#Index                     Name  Age   GPA         Career
     0         Tracey Brouillet   24  0.13        Biology
     1           Judith Bignall   20  3.20        Biology
     2              Gary Chacko   21  1.91      Chemistry
     3        Mildred Christmas   27  3.11        Physics
     4            Ernesto Stack   22  1.93        Biology
     5           Ralph Flaherty   23  2.89      Chemistry
     6           Sheryl Carlson   25  0.84      Chemistry
     7                Anne Tran   23  2.13      Chemistry
     8            Tony Browning   22  0.52      Chemistry
     9        Patrick Hernandez   20  3.96        Physics
    10              Martha Sand   20  3.16        Physics
    11         Bridgett Kennedy   21  2.45        Physics
    12           Michelle Minor   25  0.16      Chemistry
    13                  Beth Ho   21  0.18        Biology
    14             Andrea Luera   26  3.48        Physics
    15          Barbara Hartley   20  1.47        Biology
    16              Edith Keith   23  1.87        Biology
    17           Felix Franklin   27  1.77      Chemistry
    18             Donita Brown   21  3.26      Chemistry
    19             James Mobley   21  2.92      Chemistry
    20            Lucille Ewald   27  0.22        Physics
    21              Lee Johnson   26  2.45        Biology
    22               Gary Myers   20  2.50      Chemistry
    23             Doris Abbott   25  1.85      Chemistry
    24            Richard Wyble   24  2.25        Physics
    25            Olive Vazquez   25  1.86        Physics
    26              Marie Lewis   21  0.24      Chemistry
    27            Nicole Rivera   22  1.19        Biology
    28              Sean Kiefer   23  1.94      Chemistry
    29             John Snively   27  1.43        Biology
    30              Gary Arruda   27  1.31        Physics
    31            Richard Mckee   22  0.17      Chemistry
    32            Richard Gould   21  0.57        Biology
    33            Henry Shabazz   21  0.48        Physics
    34          Oralia Kimbrell   23  0.47        Physics
    35               Earl Emery   25  2.43      Chemistry
    36           Andrea Salinas   22  1.86        Biology
    37               Wanda Yuan   20  2.64      Chemistry
    38           Rachael Murphy   22  2.37        Physics
    39        Christopher Hosey   21  2.17        Biology
    40                 Amy King   21  0.86        Physics
    41             Dorothy Gray   25  1.08      Chemistry
    42           Sibyl Schumann   20  2.98      Chemistry
    43          Robert Robinson   20  2.34      Chemistry
    44               Scott Shaw   20  3.52        Physics
    45            Alice Tweedie   20  3.65        Biology
    46            Gladys Wathen   26  0.95      Chemistry
    47              Wanda Reyes   25  3.53      Chemistry
    48        Rosalind Connolly   25  0.73        Biology
    49             Susan Bowman   24  1.51        Biology
    50             Chester Noel   24  3.03        Physics
    51           Sam Washington   23  0.38        Physics
    52              Scott Moore   20  1.13      Chemistry
    53          Jenifer Leonard   27  1.37      Chemistry
    54            Whitney Davis   24  1.50        Biology
    55            Cynthia Craft   21  2.42        Physics
    56              Lori Stuart   24  1.14        Physics
    57           Samuel Shields   23  1.88      Chemistry
    58             Luke Barrett   24  1.97      Chemistry
    59            Willie Morgan   27  1.92      Chemistry
    60             Donald Hobbs   21  3.54      Chemistry
    61              Jason Brown   22  0.53        Physics
    62            Justin Parker   21  3.39      Chemistry
    63            Lucille Dawes   22  0.45        Physics
    64              Donna Leber   25  3.70        Physics
    65           Gregory Bryant   25  2.25        Biology
    66           William Cargle   21  1.49      Chemistry
    67              Paula Byers   22  0.80      Chemistry
    68          Justin Paquette   22  2.06      Chemistry
    69             Audrey Adams   22  3.84        Biology
    70              Dan Higgins   20  3.39        Biology
    71              Linda Morin   20  3.77        Physics
    72           Gerald Watkins   24  3.83        Physics
    73              Maria Smith   21  1.14        Biology
    74          Margaret Gandhi   27  3.27      Chemistry
    75           Angelica Panto   23  3.65        Physics
    76            Walter Pineda   24  3.30      Chemistry
    77         Deborah Charland   24  1.07      Chemistry
    78          Alberto Philipp   27  0.16        Physics
    79         Kimberly Burkett   25  0.60        Physics
    80            Larry Chapman   25  3.07        Biology
    81           Meryl Rodrigue   20  1.03        Physics
    82           Manuel Samford   27  3.65        Biology
    83           Victoria Smith   27  0.62      Chemistry
    84           Elizabeth Voss   20  0.98        Biology
    85           Dorian Griffin   26  0.52        Biology
    86               Lisa Hardy   23  2.46        Physics
    87              Albert Chin   20  1.99        Biology
    88              Kim Gilmore   22  1.49        Biology
    89            Edward Wilson   23  3.98        Biology
    90          William Dillard   25  3.23      Chemistry
    91            Ray Armstrong   21  1.02      Chemistry
    92         Jennifer Russell   25  0.55        Physics
    93           Carol Shepherd   24  0.29      Chemistry
    94              Glen Cokley   23  1.63        Physics
    95           Alfred Theisen   27  3.11      Chemistry
    96            Lillie Haynes   24  0.98      Chemistry
    97       Stephen Cunningham   26  1.87        Physics
    98            Andy Pettiway   23  2.92        Physics
    99           Tony Brinkhaus   23  3.73        Physics
   100               Mark Osman   26  0.69      Chemistry
   101         Christian Armand   21  0.63        Physics
   102           Sandra Swanson   26  3.56        Physics
   103          Kimberly Namdar   27  0.87      Chemistry
   104          Tiffany Hocking   24  1.52      Chemistry
   105              Edwin Dixon   25  1.97      Chemistry
   106         Kimberly Corrado   21  0.13      Chemistry
   107            Sarah Lindsay   21  2.16        Physics
   108            Bethany Baker   21  3.26      Chemistry
   109         Jennifer Cochran   20  1.88      Chemistry
   110             Miriam Urena   27  0.33        Biology
   111         Sara Fitzpatrick   21  1.44        Biology
   112          Jessica Iverson   26  3.54        Biology
   113             Frank Rogers   22  2.32      Chemistry
   114            Antonio Tolle   23  1.09      Chemistry
   115       Willie Baumgardner   23  3.87      Chemistry
   116            Maurice Colon   26  3.01        Biology
   117                Mary Rose   26  3.98        Physics
   118            Samuel Slaton   26  0.28        Biology
   119               Laura Mayo   26  3.97        Biology
   120          Matthew Chaffin   23  2.60        Physics
   121           Rafael Hopkins   20  2.09      Chemistry
   122         Christina Martin   23  0.15        Biology
   123           Carl Nicholson   24  2.53        Biology
   124        Angela Schoemaker   21  3.97        Biology
   125            Joanne Guyton   27  2.56      Chemistry
   126          Andrew Lafleche   23  2.35        Biology
   127            Timothy Crook   23  2.79        Physics
   128          Gilbert Barnett   27  3.59      Chemistry
   129           Fletcher Mills   20  0.35        Biology
   130            Joanna Slaney   21  1.32        Biology
   131        Valentina Dickman   22  0.40        Physics
   132            Aaron Billups   20  2.00        Biology
   133           Patricia Noble   20  3.27        Physics
   134            Gilbert Lewis   24  1.22      Chemistry
   135             John Pearson   27  3.86        Biology
   136         Joseph Schappert   26  1.29        Physics
   137            Willard Smith   26  1.58        Biology
   138              Alfred Milo   21  2.67      Chemistry
   139              Elsie Kopka   22  2.71        Biology
   140          Helen Cianciolo   26  0.51        Physics
   141            Manuela James   26  2.08        Physics
   142             George Bryan   25  2.69        Physics
   143           Lorraine Housh   21  0.86        Biology
   144             Patsy Cosley   26  0.50      Chemistry
   145               John Viard   23  2.80      Chemistry
   146             Ryan Mcleary   26  2.99      Chemistry
   147                Roy Black   23  2.93        Biology
   148         Mildred Nakamura   23  2.22        Physics
   149              Joni Broddy   23  3.81        Biology
   150          Winston Hillard   24  2.61        Biology
   151           Harry Williams   24  0.64        Biology
   152               Ruth Perez   23  0.50      Chemistry
   153       Jacqueline Starkey   22  3.71        Biology
   154            Jason Blevins   20  1.74      Chemistry
   155             Ramon Wilson   21  2.08        Biology
   156               Logan Ryan   26  1.28        Biology
   157            Claire Mccune   26  1.61      Chemistry
   158               John Marks   23  3.17        Physics
   159              James Chase   24  2.24      Chemistry
   160            Stephen Fitch   25  3.94        Physics
   161           Lloyd Overturf   26  0.35      Chemistry
   162            Jose Saunders   24  1.14      Chemistry
   163           Jerry Alvarado   24  0.53      Chemistry
   164             Dwayne Watts   23  1.18        Biology
   165          Jordan Longwell   21  3.92      Chemistry
   166             Gerald Crisp   27  2.80        Biology
   167          Charles Lamothe   25  0.38        Physics
   168              Shawn Coney   27  0.57      Chemistry
   169          Misti Hoffpauir   22  0.56      Chemistry
   170              James Perez   22  1.20        Biology
   171           Leon Henderson   25  1.13        Physics
   172             Angel Cooper   26  2.17        Physics
   173              Ryan Blaise   25  3.35        Biology
   174                John Hill   22  3.80      Chemistry
   175           Marilyn Fulmer   25  3.49        Physics
   176            Percy Conaway   20  0.93      Chemistry
   177            Donald Potter   21  3.45        Biology
   178             Edith Porath   22  3.19        Physics
   179              Frank Giles   25  1.34        Physics
   180          Brenda Hoogland   25  0.61        Physics
   181           Edwina Brunell   27  2.40        Biology
   182        Sharon Valenzuela   21  1.76        Biology
   183         Stephen Vangundy   26  3.08        Biology
   184         Patricia Alvarez   23  2.78      Chemistry
   185           Brenda Gardner   24  2.93        Biology
   186          Elaine Heinsohn   25  0.22        Physics
   187              Judy Mcnear   26  1.10      Chemistry
   188          Gayle Mcfarland   21  2.82        Physics
   189              Mark Harney   20  2.47      Chemistry
   190        Michelle Martinez   22  1.04        Biology
   191           Bobby Pastrano   22  3.75        Physics
   192           Adrianne Marsh   24  2.66      Chemistry
   193           Malika Shaffer   26  1.77        Physics
   194              Julie Orear   22  2.92        Biology
   195            Harry Glasper   23  3.50        Biology
   196              Harold Ford   22  3.41        Physics
   197            Alfred French   20  1.68        Physics
   198          Alan Washington   20  1.43      Chemistry
   199          Sharon Benjamin   26  3.58      Chemistry
   200            William Brown   27  3.75      Chemistry
   201            James Pittman   24  0.01        Biology
   202           Gregory Nievas   26  3.40      Chemistry
   203              Wendy Lewis   20  1.37      Chemistry
   204            Stanley Jones   21  2.17        Biology
   205            Deborah Brown   20  0.68      Chemistry
   206          Reinaldo Schall   22  3.40      Chemistry
   207            Denise Newsom   26  1.96      Chemistry
   208            Larry Johnson   26  3.85        Biology
   209         Timothy Bradshaw   20  0.69        Biology
   210             Ollie Eicher   27  3.21      Chemistry
   211        Geraldine Alvarez   23  0.52        Physics
   212              Rachel Maki   26  0.48        Biology
   213                Janet Bye   23  0.89        Physics
   214             Brian Butler   22  2.89        Physics
   215           Natalya Barile   27  1.17        Biology
   216            Lyn Arrington   26  0.39        Biology
   217            Charles Smith   24  3.42        Physics
   218              Anna Vinroe   22  2.77        Physics
   219              Amy Stewart   25  0.08        Physics
   220             Ronald Evans   22  0.34        Biology
   221            Maryann Clark   24  1.85      Chemistry
   222        Albert Delosantos   26  0.25        Biology
   223            Roger Oglesby   23  2.65      Chemistry
   224              Renee Hirst   20  1.61        Biology
   225          Katrina Saucedo   20  0.30        Physics
   226           Rhonda Moulder   27  2.23        Physics
   227           Guillermo Kral   25  2.20      Chemistry
   228               Della Egan   27  0.82      Chemistry
   229           Phillip Carnes   20  2.46        Biology
   230               Jay Adkins   21  3.52        Physics
   231               Josie Peek   22  0.09        Biology
   232            Jeramy Hannah   20  2.78      Chemistry
   233             Shana Castle   23  2.89        Biology
   234              Paul French   27  2.29      Chemistry
   235              Danny Boone   25  2.49      Chemistry
   236           Frances Milton   20  1.57        Biology
   237           Hazel Robinson   21  2.09      Chemistry
   238           Michael Burris   24  3.72        Biology
